iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,P_HTHAB,ME	2.26 	2.57 	3.38 	2.09 	1.77 	3.86 	2.73 	3.06 	1.45 	2.42 	3.07 	2.10 	1.62 	3.57 
ICCS0101,P_HTHAB,MK	: 	: 	: 	: 	1.21 	0.82 	1.01 	1.21 	0.97 	1.36 	1.31 	1.90 	1.71 	1.71 
ICCS0101,P_HTHAB,MT	0.39 	1.17 	0.81 	1.26 	1.96 	1.11 	0.93 	1.41 	1.42 	2.39 	0.72 	0.97 	0.97 	1.47 
ICCS0101,P_HTHAB,NL	0.72 	0.70 	0.72 	0.69 	0.92 	0.64 	0.71 	0.86 	0.88 	: 	: 	: 	0.93 	0.91 
ICCS0101,P_HTHAB,NO	0.54 	0.58 	0.53 	0.47 	0.53 	0.52 	0.46 	0.57 	0.93 	0.54 	2.26 	0.60 	0.60 	0.72 
ICCS0101,P_HTHAB,PL	0.70 	0.69 	0.54 	0.70 	0.73 	0.67 	0.76 	0.74 	0.78 	0.99 	1.18 	1.15 	1.29 	1.21 
ICCS0101,P_HTHAB,PT	0.80 	0.79 	0.71 	0.79 	0.74 	0.64 	0.96 	0.88 	1.37 	1.16 	1.08 	1.17 	1.23 	1.17 
ICCS0101,P_HTHAB,RO	0.99 	1.32 	1.31 	1.37 	1.30 	1.25 	1.46 	1.49 	1.68 	1.88 	1.56 	1.88 	1.94 	2.28 
ICCS0101,P_HTHAB,RS	1.06 	1.10 	1.15 	1.49 	1.12 	1.50 	1.35 	1.60 	1.84 	1.44 	1.57 	1.56 	1.85 	1.74 
ICCS0101,P_HTHAB,SE	1.09 	1.20 	1.09 	1.07 	1.13 	1.08 	1.15 	0.90 	0.91 	0.72 	0.86 	0.97 	1.00 	0.89 
ICCS0101,P_HTHAB,SI	0.43 	0.52 	0.67 	0.44 	0.92 	0.48 	0.97 	0.82 	0.58 	0.68 	0.83 	0.54 	0.64 	0.55 
ICCS0101,P_HTHAB,SK	1.01 	1.15 	1.39 	1.23 	1.47 	1.11 	0.89 	1.33 	1.44 	1.39 	1.78 	1.65 	1.56 	1.75 
ICCS0101,P_HTHAB,TR	2.35 	2.35 	2.24 	2.43 	: 	: 	: 	: 	: 	2.42 	2.29 	2.43 	2.92 	: 
